,CustomerGender,ProductName,ProductPrice,CostOfGood,ProductCategory,CustomerCountry,CustomerContinent,OrderTime,OrderDay,OrderMonth,QuantitySold,discountPerQuantity,salePrice,OrderYear,ExpectedRevenue,PricePerQuantity,DiscountPercentage,dateOfPurchase
0,Female,Hat,713.0,249.55,Movies,Seychelles,Africa,13:43:00,1,February,3,0.09,1946.49,2017,463.45,648.83,0.01,1 February 2017
1,Female,Cheese,60.0,47.4,Health,Qatar,Asia,12:25:00,11,February,5,0.02,294.0,2020,12.600000000000001,58.8,0.03,11 February 2020
2,Male,Chips,310.0,145.7,Sports,Cameroon,Africa,20:14:00,25,September,2,0.03,601.4,2020,164.3,300.7,0.01,25 September 2020
3,Female,Chair,468.0,149.76,Beauty,Guadeloupe,North America,13:13:00,30,June,1,0.1,421.2,2020,318.24,421.2,0.02,30 June 2020
4,Male,Chicken,360.0,140.4,Health,Swaziland,Africa,22:50:00,28,September,6,0.08,1987.2,2020,219.6,331.2,0.02,28 September 2020
5,Male,Salad,190.0,119.7,Health,Costa Rica,North America,23:15:00,30,December,5,0.09,864.5,2020,70.3,172.9,0.05,30 December 2020
6,Female,Keyboard,860.0,576.2,Health,Kuwait,Asia,17:56:00,8,June,2,0.1,1548.0,2019,283.79999999999995,774.0,0.01,8 June 2019
7,Female,Gloves,95.0,51.3,Music,Kazakhstan,Asia,21:34:00,4,May,2,0.02,186.2,2018,43.7,93.1,0.02,4 May 2018
8,Female,Pants,188.0,52.63999999999999,Toys,Andorra,Europe,20:15:00,2,April,2,0.1,338.4,2020,135.36,169.2,0.05,2 April 2020
9,Female,Keyboard,915.0,356.85,Baby,Tunisia,Africa,22:57:00,24,June,1,0.01,905.85,2020,558.15,905.85,0.0,24 June 2020
10,Male,Chair,180.0,144.0,Music,Hungary,Europe,19:56:00,30,February,8,0.07,1339.2,2020,36.0,167.4,0.04,30 February 2020
11,Female,Keyboard,326.0,273.84000000000003,Music,Luxembourg,Europe,11:11:00,12,January,5,0.09,1483.3000000000002,2020,52.15999999999997,296.66,0.03,12 January 2020
12,Female,Chair,265.0,124.55,Electronics,Djibouti,Africa,22:51:00,19,June,7,0.06,1743.7,2019,140.45,249.1,0.02,19 June 2019
13,Male,Tuna,162.0,64.8,Shoes,Guinea,Africa,12:54:00,11,November,1,0.07,150.66,2020,97.2,150.66,0.04,11 November 2020
14,Female,Soap,642.0,526.44,Music,Gambia,Africa,10:40:00,11,October,5,0.04,3081.6000000000004,2019,115.55999999999995,616.32,0.01,11 October 2019
15,Female,Towels,196.0,86.24,Industrial,Jordan,Asia,15:58:00,10,April,3,0.08,540.96,2020,109.76,180.32000000000002,0.04,10 April 2020
16,Female,Computer,692.0,145.32000000000005,Tools,Western Sahara,Africa,13:59:00,28,July,4,0.05,2629.6,2017,546.68,657.4,0.01,28 July 2017
17,Male,Bacon,642.0,378.78,Health,"Bonaire, Saint Eustatius and Saba ",North America,22:48:00,2,February,10,0.08,5906.4,2019,263.22,590.64,0.01,2 February 2019
18,Male,Sausages,570.0,290.7,Sports,United States Minor Outlying Islands,Oceania,13:44:00,25,September,3,0.02,1675.8000000000002,2016,279.3,558.6,0.0,25 September 2016
