,CustomerId,firstPurchaseDate,lastPurchaseDate,countOfPurchases,totalPurchaseValue,totalQtyPurchased,customerProfit,daysSinceLastPurchase,periodOfExistence,firstPurchaseYear,avgorderValue,customerValue,customerLifetimeValue
0,1,2020-04-22,2020-04-22,1,864.0,4,360.0,252,0,2020,864.0,122879.34582623508,44236564.49744463
1,2,2017-07-17,2020-04-10,4,15318.08,24,7064.4800000000005,264,998,2017,3829.52,544639.9449403747,3847597998.2323785
2,3,2016-07-21,2020-12-18,5,17036.5,40,8460.95,12,1611,2016,3407.3,484591.1979557069,4100101896.343339
3,4,2018-04-22,2019-07-15,2,8253.9,11,5745.6900000000005,534,449,2018,4126.95,586940.875298126,3372380317.79169
4,5,2016-07-16,2020-12-16,4,3413.18,13,1892.0199999999995,14,1614,2016,853.295,121356.86504258942,229609615.79787996
5,6,2018-11-16,2019-10-13,4,1321.37,15,531.56,444,331,2018,330.3425,46981.79432708687,24973642.592506293
6,7,2016-04-26,2018-11-04,4,9940.34,28,6203.140000000001,787,922,2016,2485.085,353432.42954003403,2192390840.9769673
7,8,2016-12-04,2020-09-03,2,3830.68,6,2699.3,118,1369,2016,1915.34,272402.4609199318,735295962.761172
8,9,2018-07-14,2018-07-14,1,5533.5,7,3451.0,900,0,2018,5533.5,786982.4770017035,2715876528.132879
9,10,2016-06-02,2020-12-21,9,19255.75,46,10443.26,9,1663,2016,2139.527777777778,304286.7751277683,3177745907.2208176
10,11,2016-03-01,2020-10-15,5,4836.219999999999,18,854.7799999999994,76,1689,2016,967.2439999999999,137562.85876660983,117585980.41652267
11,12,2017-08-22,2019-05-11,3,5053.6,21,3157.15,599,627,2017,1684.5333333333335,239576.79863713798,756379889.8172402
12,13,2018-01-28,2018-01-28,1,3368.7000000000003,6,1063.8000000000006,1067,0,2018,3368.7000000000003,479101.44940374786,509668121.87570727
13,15,2016-01-18,2020-08-28,2,425.03999999999996,6,209.16,124,1684,2016,212.51999999999998,30224.905758091983,6321841.288362519
14,16,2016-10-03,2018-12-23,4,12483.48,31,4281.83,738,811,2016,3120.87,443854.70371379884,1900510386.0028553
15,17,2016-04-23,2018-09-21,2,3120.88,6,1510.68,831,881,2016,1560.44,221928.06296422484,335262286.1587952
16,18,2016-06-04,2018-07-22,3,9656.64,12,4484.34,892,778,2016,3218.8799999999997,457793.8295059624,2052903181.4067674
17,19,2019-10-29,2019-10-29,1,1933.47,7,457.3799999999999,428,0,2019,1933.47,274980.9360817717,125770780.54508069
18,20,2019-02-16,2020-09-08,4,10010.470000000001,16,3686.620000000001,113,570,2019,2502.6175000000003,355925.9273764906,1312163642.3847182
19,21,2016-09-24,2019-11-20,5,14201.13,21,8110.46,406,1152,2016,2840.2259999999997,403941.1028688244,3276148157.1734853
20,22,2017-07-21,2020-02-27,4,4987.5,30,2669.29,307,951,2017,1246.875,177332.38926746164,473351573.3477427
