,CustomerId,CustomerGender,ProductName,ProductPrice,CostOfGood,ProductCategory,CustomerCountry,CustomerContinent,OrderTime,OrderDay,OrderMonth,QuantitySold,discountPercentage,salePrice,OrderYear,ExpectedProfit,PricePerQuantity,dateOfPurchase,ProfitMade
0,4070,Female,Hat,713.0,249.55,Movies,Seychelles,Africa,13:43:00,1,February,3,9.0,1946.49,2017,463.45,648.83,2017-02-01,1197.84
1,2530,Female,Cheese,60.0,47.4,Health,Qatar,Asia,12:25:00,11,February,5,2.0,294.0,2020,12.600000000000001,58.8,2020-02-11,57.0
2,2697,Male,Chips,310.0,145.7,Sports,Cameroon,Africa,20:14:00,25,September,2,3.0,601.4,2020,164.3,300.7,2020-09-25,310.0
3,2405,Female,Chair,468.0,149.76,Beauty,Guadeloupe,North America,13:13:00,30,June,1,10.0,421.2,2020,318.24,421.2,2020-06-30,271.44
4,4394,Male,Chicken,360.0,140.4,Health,Swaziland,Africa,22:50:00,28,September,6,8.0,1987.2,2020,219.6,331.2,2020-09-28,1144.8
5,2013,Male,Salad,190.0,119.7,Health,Costa Rica,North America,23:15:00,30,December,5,9.0,864.5,2020,70.3,172.9,2020-12-30,266.0
6,396,Female,Keyboard,860.0,576.2,Health,Kuwait,Asia,17:56:00,8,June,2,10.0,1548.0,2019,283.79999999999995,774.0,2019-06-08,395.5999999999999
7,4151,Female,Gloves,95.0,51.3,Music,Kazakhstan,Asia,21:34:00,4,May,2,2.0,186.2,2018,43.7,93.1,2018-05-04,83.6
8,2987,Female,Pants,188.0,52.63999999999999,Toys,Andorra,Europe,20:15:00,2,April,2,10.0,338.4,2020,135.36,169.2,2020-04-02,233.12
9,26,Female,Keyboard,915.0,356.85,Baby,Tunisia,Africa,22:57:00,24,June,1,1.0,905.85,2020,558.15,905.85,2020-06-24,549.0
10,1462,Female,Keyboard,326.0,273.84000000000003,Music,Luxembourg,Europe,11:11:00,12,January,5,9.0,1483.3000000000002,2020,52.15999999999997,296.66,2020-01-12,114.09999999999991
11,705,Female,Chair,265.0,124.55,Electronics,Djibouti,Africa,22:51:00,19,June,7,6.0,1743.7,2019,140.45,249.1,2019-06-19,871.85
12,2388,Male,Tuna,162.0,64.8,Shoes,Guinea,Africa,12:54:00,11,November,1,7.000000000000001,150.66,2020,97.2,150.66,2020-11-11,85.86
